year	cell	Area_intersection	no_bird	Mahd	herb_layer	shrub_high	shrub_low	shrub_medium	Gebuesch	forest	Area1	Area_without_forest	
2019	214	22456	0	0	0	0	0	0	0	21535	21535	0	1.00
2019	241	17451	0	0	0	0	0	0	0	16586	16586	0	1.00
2019	271	21590	0	0	0	0	0	0	0	18269	18269	0	1.00
2019	272	22500	0	0	0	0	0	0	0	21934	21934	0	1.00
2019	300	19955	1	0	0	0	0	0	0	16276	16276	0	1.00
2019	301	22472	1	0	0	0	0	0	0	20314	20314	0	1.00
2019	302	22500	0	0	0	0	0	0	0	22497	22497	0	1.00
2019	330	22491	1	0	0	0	0	0	0	16199	16199	0	1.00
2019	331	22500	1	0	0	0	0	0	0	22500	22500	0	1.00
2019	273	22500	0	0	147	0	0	0	0	22353	22500	147	0.99
2019	242	22486	0	0	198	0	0	0	0	22226	22424	198	0.99
2019	332	18740	0	0	172	0	0	0	0	15443	15615	172	0.99
2019	238	22500	0	0	0	325	0	0	0	22166	22491	325	0.99
2019	303	22500	0	0	1700	0	0	0	0	20785	22485	1700	0.92
2019	192	19021	0	0	137	0	1566	0	0	17215	18918	1703	0.91
2019	149	22500	0	0	0	0	2088	0	0	20412	22500	2088	0.91
2019	304	22500	0	0	2567	0	0	0	0	19820	22387	2567	0.89
2019	243	22500	1	0	2929	0	0	0	0	19484	22413	2929	0.87
2019	274	22500	0	0	3765	0	0	0	0	18735	22500	3765	0.83
2019	148	22500	0	0	0	0	4512	0	0	17988	22500	4512	0.80
2019	244	22500	0	0	2789	731	0	1694	0	17252	22466	5214	0.77
2019	245	22500	1	0	5559	621	0	0	0	16319	22499	6180	0.73
2019	173	22500	0	0	126	0	8662	0	0	13712	22500	8788	0.61
2019	168	20605	0	0	0	0	8212	0	0	12219	20431	8212	0.60
2019	307	22500	0	2019	6912	0	0	0	0	12372	21303	8931	0.58
2019	246	22500	1	0	10020	0	0	0	0	12480	22500	10020	0.55
2019	144	19342	0	0	6159	0	2441	0	0	10333	18933	8600	0.55
2019	275	22500	1	0	10351	0	0	0	0	12149	22500	10351	0.54
2019	248	22500	0	0	11677	0	0	0	0	10822	22499	11677	0.48
2019	305	22500	0	557	9468	0	0	0	0	8712	18737	10025	0.46
2019	147	22500	0	0	0	0	12118	0	0	10382	22500	12118	0.46
2019	261	18179	0	0	2320	1242	0	1969	3545	7773	16849	9076	0.46
2019	172	22500	0	0	0	0	14059	0	0	8441	22500	14059	0.38
2019	276	22500	1	2905	11184	0	0	0	0	8411	22500	14089	0.37
2019	247	22500	1	0	14136	0	0	0	0	8361	22497	14136	0.37
2019	217	22500	0	0	14695	0	0	0	0	7797	22492	14695	0.35
2019	213	22500	1	0	0	12032	0	2686	0	7782	22500	14718	0.35
2019	260	22500	0	0	9997	0	0	405	4743	7338	22483	15145	0.33
2019	249	22500	1	0	16561	0	0	0	0	5922	22483	16561	0.26
2019	126	22500	0	0	0	0	9702	7297	0	5484	22483	16999	0.24
2019	125	22500	1	0	0	0	9508	7568	127	5294	22497	17203	0.24
2019	60	22500	0	0	1668	13268	0	95	2288	5182	22501	17319	0.23
2019	308	22494	1	0	16994	0	0	0	0	4400	21394	16994	0.21
2019	36	22500	0	0	3360	0	0	715	14330	4164	22569	18405	0.18
2019	171	22500	1	0	7125	0	11571	0	0	3805	22501	18696	0.17
2019	277	22500	1	9482	9222	0	0	0	0	3793	22497	18704	0.17
2019	284	22500	1	0	18782	0	0	0	0	3718	22500	18782	0.17
2019	150	22500	0	0	0	0	19188	0	0	3312	22500	19188	0.15
2019	278	22500	1	12225	7575	0	0	0	0	2781	22581	19800	0.12
2019	237	22500	0	0	0	6244	0	14565	0	1771	22580	20809	0.08
2019	189	22500	1	0	0	2458	491	18449	0	1327	22725	21398	0.06
2019	35	22500	1	0	11726	0	0	6360	3357	1037	22480	21443	0.05
2019	218	22500	1	0	21686	0	0	0	0	788	22474	21686	0.04
2019	120	18079	0	0	13618	0	0	0	3811	569	17998	17429	0.03
2019	59	22500	0	0	3496	10832	0	7605	0	561	22494	21933	0.02
2019	279	22500	1	14264	8053	0	0	0	0	170	22487	22317	0.01
2019	174	22500	0	0	6810	0	15533	0	0	157	22500	22343	0.01
2019	193	22500	0	0	18572	0	3780	0	0	148	22500	22352	0.01
2019	280	22500	1	17131	5243	0	0	0	0	116	22490	22374	0.01
2019	141	21143	0	0	0	13169	2254	0	0	0	15423	15423	0.00
2019	13	20406	0	0	15436	0	0	0	583	0	16019	16019	0.00
2019	73	16506	0	0	0	0	0	230	16276	0	16506	16506	0.00
2019	42	20118	0	0	0	0	0	0	16530	0	16530	16530	0.00
2019	67	21621	0	0	15172	0	0	0	1501	0	16673	16673	0.00
2019	96	16774	1	0	1900	0	0	0	14860	0	16760	16760	0.00
2019	16	17475	0	0	0	0	0	0	16844	0	16844	16844	0.00
2019	11	20221	0	0	10695	0	0	0	6402	0	17097	17097	0.00
2019	53	22267	0	0	10	1681	0	0	15991	0	17682	17682	0.00
2019	12	21713	0	0	13435	0	0	0	4574	0	18009	18009	0.00
2019	30	21656	0	0	15568	0	0	0	4536	0	20104	20104	0.00
